timestamp,ppg_raw,diff,classification
1773387429.53019,40860,30052.0,POSSIBLE_PHYS_CHANGE
1773387429.5586271,29883,10977.0,VALID
1773387429.589372,23154,6729.0,VALID
1773387429.61858,19539,3615.0,VALID
1773387429.619335,17079,2460.0,VALID
1773387429.648225,15714,1365.0,VALID
1773387429.678675,15261,453.0,VALID
1773387429.679277,16821,1560.0,VALID
1773387429.7080472,21119,4298.0,VALID
1773387429.7385972,27830,6711.0,VALID
1773387429.7682052,34252,6422.0,VALID
1773387429.769256,44085,9833.0,VALID
1773387429.798644,58146,14061.0,VALID
1773387429.828907,86688,28542.0,POSSIBLE_PHYS_CHANGE
1773387429.830288,125305,38617.0,MOTION_ARTIFACT
1773387429.8587148,173798,48493.0,POSSIBLE_PHYS_CHANGE
1773387429.8879092,238777,64979.0,POSSIBLE_PHYS_CHANGE
1773387429.919435,262140,23363.0,POSSIBLE_PHYS_CHANGE
1773387429.920444,262140,0.0,VALID
1773387429.948401,262140,0.0,VALID
1773387429.979025,262140,0.0,VALID
1773387429.980446,262140,0.0,VALID
1773387430.008172,262140,0.0,VALID
1773387430.038642,262140,0.0,VALID
1773387430.068241,262140,0.0,VALID
1773387430.069384,262140,0.0,VALID
1773387430.0986528,262140,0.0,VALID
1773387430.128747,262140,0.0,VALID
1773387430.130275,251402,10738.0,VALID
1773387430.159778,245415,5987.0,VALID
1773387430.188249,235312,10103.0,VALID
1773387430.220814,228758,6554.0,VALID
1773387430.221122,218067,10691.0,VALID
1773387430.2484548,210008,8059.0,VALID
1773387430.278555,200126,9882.0,VALID
1773387430.279356,200236,110.0,VALID
1773387430.308199,200301,65.0,VALID
1773387430.338567,200413,112.0,VALID
1773387430.368236,200581,168.0,VALID
1773387430.490217,201226,645.0,VALID
1773387430.5808609,202079,853.0,VALID
1773387430.701858,202656,577.0,VALID
1773387430.790825,203084,428.0,VALID
1773387430.882839,203416,332.0,VALID
1773387431.00106,203744,328.0,VALID
1773387431.09074,203687,57.0,VALID
1773387431.181037,204178,491.0,VALID
1773387431.300896,204966,788.0,VALID
1773387431.328479,12134,192832.0,POSSIBLE_PHYS_CHANGE
1773387431.33023,12406,272.0,VALID
1773387431.358827,13562,1156.0,VALID
1773387431.38901,15593,2031.0,VALID
1773387431.390197,18150,2557.0,VALID
1773387431.419143,20538,2388.0,VALID
1773387431.45129,23876,3338.0,VALID
1773387431.481877,27768,3892.0,VALID
1773387431.482165,33696,5928.0,VALID
1773387431.512478,42108,8412.0,VALID
1773387431.5409129,55299,13191.0,VALID
1773387431.541225,68791,13492.0,VALID
1773387431.5681448,81216,12425.0,POSSIBLE_PHYS_CHANGE
1773387431.598665,88419,7203.0,VALID
1773387431.628501,93469,5050.0,VALID
1773387431.630251,96621,3152.0,VALID
1773387431.659758,100397,3776.0,POSSIBLE_PHYS_CHANGE
1773387431.6882749,105152,4755.0,VALID
1773387431.689287,120677,15525.0,VALID
1773387431.718516,152082,31405.0,POSSIBLE_PHYS_CHANGE
1773387431.7484632,195304,43222.0,POSSIBLE_PHYS_CHANGE
1773387431.780012,250068,54764.0,POSSIBLE_PHYS_CHANGE
